start_station_name,casual_count,member_count
Falls Church City Hall / Park Ave & Little Falls St,750,1308
Wheaton Metro / Georgia Ave & Reedie Dr,1438,1292
1st & S Capitol St SE / Oxon Run Trail,1381,1284
N. Beauregard St. & Berkley St.,1382,1284
Westover Library / Washington Blvd & N McKinley Rd,880,1279
King St & Peyton St,1538,1273
N Pershing Dr & N Quebec St,707,1254
Montgomery & East Ln,1294,1229
Minnesota Ave Metro/DOES,1137,1224
Veterans Pl & Pershing Dr ,1205,1219
Potomac Yard Metro South,1055,1201
N Oak St & W Broad St,997,1197
Reed & Edison,781,1184
Duke St & Strand (Robinson Terminal),2425,1177
Woodglen Dr & Executive Blvd,1952,1174
W Broad St & Little Falls St,1187,1173
S Troy St & 26th St S,1144,1171
Lee Center,650,1159
S Four Mile Run Dr & Walter Reed Dr,1149,1139
Norfolk & Rugby Ave,1406,1130
Army Navy Dr & Fern St,941,1129
Good Hope Rd & 14th St SE,832,1111
Mandeville Ln & Stovall St,1064,1101
Tysons Metro North,778,1074
N Roosevelt St & Roosevelt Blvd,2212,1073
Baltimore Ave & Jefferson St,3134,1072
New Hampshire Ave & East-West Hwy,1122,1070
Citadel Ave & McGrath Blvd,1042,1065
Massachusetts & Idaho Ave NW,1189,1062
Anacostia Ave & East Capitol St NE,847,1061
Four Mile Run Dr & S Shirlington Rd,1349,1058
McLean Metro,948,1057
Columbia Pike & S Scott St/12th St S,1194,1042
Alabama & MLK Ave SE,941,1036
Rhode Island Ave & 39th St / Brentwood Arts Exchange,1338,1012
Queens Chapel & Hamilton St,1682,1002
S Maple Ave & S Washington St,1601,997
16th & Q St SE / Anacostia HS,1190,981
12th St N & N Pierce St,786,979
18th St & S Eads St,1294,978
Commonwealth Ave & Oak St,1341,976
Benning Branch Library,466,961
Twinbrook Metro,1080,947
East West Hwy & 16th St,2233,932
Washington Blvd & N Frederick St,559,918
Pennsylvania Ave & Park Ave,1071,914
S Kenmore St & 24th St S,571,909
Troy St & 26th St S,1835,901
Langston Blvd & N Kirkwood Rd,727,900
Executive Blvd & E Jefferson St,452,897
